Forename,Surname,Name (Display As),Name (List As),Party,Constituency,Address 1,Address 2,Postcode,Email
Rebecca,Long Bailey,Rebecca Long Bailey,"Long Bailey, Rebecca",Independent,Salford,House of Commons,London,SW1A 0AA,rebecca.longbailey.mp@parliament.uk
Julia,Lopez,Julia Lopez,"Lopez, Julia",Conservative,Hornchurch and Upminster,House of Commons,London,SW1A 0AA,julia.lopez.mp@parliament.uk
Rupert,Lowe,Rupert Lowe,"Lowe, Rupert",Reform UK,Great Yarmouth,House of Commons,London,SW1A 0AA,rupert.lowe.mp@parliament.uk
Josh,MacAlister,Josh MacAlister,"MacAlister, Josh",Labour,Whitehaven and Workington,House of Commons,London,SW1A 0AA,josh.macalister.mp@parliament.uk
Douglas,McAllister,Douglas McAllister,"McAllister, Douglas",Labour,West Dunbartonshire,House of Commons,London,SW1A 0AA,douglas.mcallister.mp@parliament.uk
Kerry,McCarthy,Kerry McCarthy,"McCarthy, Kerry",Labour,Bristol East,House of Commons,London,SW1A 0AA,kerry.mccarthy.mp@parliament.uk
James,MacCleary,James MacCleary,"MacCleary, James",Liberal Democrat,Lewes,House of Commons,London,SW1A 0AA,james.maccleary.mp@parliament.uk
Martin,McCluskey,Martin McCluskey,"McCluskey, Martin",Labour,Inverclyde and Renfrewshire West,House of Commons,London,SW1A 0AA,martin.mccluskey.mp@parliament.uk
Siobhain,McDonagh,Dame Siobhain McDonagh,"McDonagh, Dame Siobhain",Labour,Mitcham and Morden,House of Commons,London,SW1A 0AA,mcdonaghs@parliament.uk
Andy,McDonald,Andy McDonald,"McDonald, Andy",Labour,Middlesbrough and Thornaby East,House of Commons,London,SW1A 0AA,andy.mcdonald.2nd@parliament.uk
Chris,McDonald,Chris McDonald,"McDonald, Chris",Labour,Stockton North,House of Commons,London,SW1A 0AA,chris.mcdonald.mp@parliament.uk
Alice,Macdonald,Alice Macdonald,"Macdonald, Alice",Labour (Co-op),Norwich North,House of Commons,London,SW1A 0AA,alice.macdonald.mp@parliament.uk
Angus,MacDonald,Mr Angus MacDonald,"MacDonald, Mr Angus",Liberal Democrat,"Inverness, Skye and West Ross-shire",House of Commons,London,SW1A 0AA,angus.macdonald.mp@parliament.uk
John,McDonnell,John McDonnell,"McDonnell, John",Independent,Hayes and Harlington,House of Commons,London,SW1A 0AA,mcdonnellj@parliament.uk
Blair,McDougall,Blair McDougall,"McDougall, Blair",Labour,East Renfrewshire,House of Commons,London,SW1A 0AA,blair.mcdougall.mp@parliament.uk
Lola,McEvoy,Lola McEvoy,"McEvoy, Lola",Labour,Darlington,House of Commons,London,SW1A 0AA,lola.mcevoy.mp@parliament.uk
Pat,McFadden,Pat McFadden,"McFadden, Pat",Labour,Wolverhampton South East,House of Commons,London,SW1A 0AA,mcfaddenp@parliament.uk
Alison,McGovern,Alison McGovern,"McGovern, Alison",Labour,Birkenhead,House of Commons,London,SW1A 0AA,alison.mcgovern.mp@parliament.uk
Alex,McIntyre,Alex McIntyre,"McIntyre, Alex",Labour,Gloucester,House of Commons,London,SW1A 0AA,alex.mcintyre.mp@parliament.uk
Gordon,McKee,Gordon McKee,"McKee, Gordon",Labour,Glasgow South,House of Commons,London,SW1A 0AA,gordon.mckee.mp@parliament.uk
Kevin,McKenna,Kevin McKenna,"McKenna, Kevin",Labour,Sittingbourne and Sheppey,House of Commons,London,SW1A 0AA,kevin.mckenna.mp@parliament.uk
Catherine,McKinnell,Catherine McKinnell,"McKinnell, Catherine",Labour,Newcastle upon Tyne North,House of Commons,London,SW1A 0AA,catherine.mckinnell.mp@parliament.uk
Jim,McMahon,Jim McMahon,"McMahon, Jim",Labour (Co-op),"Oldham West, Chadderton and Royton",House of Commons,London,SW1A 0AA,jim.mcmahon.mp@parliament.uk
Anna,McMorrin,Anna McMorrin,"McMorrin, Anna",Labour,Cardiff North,House of Commons,London,SW1A 0AA,anna.mcmorrin.mp@parliament.uk
James,McMurdock,James McMurdock,"McMurdock, James",Reform UK,South Basildon and East Thurrock,House of Commons,London,SW1A 0AA,james.mcmurdock.mp@parliament.uk
Andy,MacNae,Andy MacNae,"MacNae, Andy",Labour,Rossendale and Darwen,House of Commons,London,SW1A 0AA,andy.macnae.mp@parliament.uk
Frank,McNally,Frank McNally,"McNally, Frank",Labour,Coatbridge and Bellshill,House of Commons,London,SW1A 0AA,frank.mcnally.mp@parliament.uk
Kirsty,McNeill,Kirsty McNeill,"McNeill, Kirsty",Labour (Co-op),Midlothian,House of Commons,London,SW1A 0AA,kirsty.mcneill.mp@parliament.uk
Esther,McVey,Esther McVey,"McVey, Esther",Conservative,Tatton,House of Commons,London,SW1A 0AA,esther.mcvey.mp@parliament.uk
Justin,Madders,Justin Madders,"Madders, Justin",Labour,Ellesmere Port and Bromborough,House of Commons,London,SW1A 0AA,justin.madders.mp@parliament.uk
Ben,Maguire,Ben Maguire,"Maguire, Ben",Liberal Democrat,North Cornwall,House of Commons,London,SW1A 0AA,ben.maguire.mp@parliament.uk
Helen,Maguire,Helen Maguire,"Maguire, Helen",Liberal Democrat,Epsom and Ewell,House of Commons,London,SW1A 0AA,helen.maguire.mp@parliament.uk
Shabana,Mahmood,Shabana Mahmood,"Mahmood, Shabana",Labour,Birmingham Ladywood,House of Commons,London,SW1A 0AA,shabana.mahmood.mp@parliament.uk
Alan,Mak,Alan Mak,"Mak, Alan",Conservative,Havant,House of Commons,London,SW1A 0AA,alan.mak.mp@parliament.uk
Seema,Malhotra,Seema Malhotra,"Malhotra, Seema",Labour (Co-op),Feltham and Heston,House of Commons,London,SW1A 0AA,seema.malhotra.mp@parliament.uk
Cathal,Mallaghan,Mr Cathal Mallaghan,"Mallaghan, Mr Cathal",Sinn Féin,Mid Ulster,House of Commons,London,SW1A 0AA,cathal.mallaghan.mp@parliament.uk
Kit,Malthouse,Kit Malthouse,"Malthouse, Kit",Conservative,North West Hampshire,House of Commons,London,SW1A 0AA,kit.malthouse.mp@parliament.uk
Amanda,Martin,Amanda Martin,"Martin, Amanda",Labour,Portsmouth North,House of Commons,London,SW1A 0AA,amanda.martin.mp@parliament.uk
Mike,Martin,Mike Martin,"Martin, Mike",Liberal Democrat,Tunbridge Wells,House of Commons,London,SW1A 0AA,mike.martin.mp@parliament.uk
Rachael,Maskell,Rachael Maskell,"Maskell, Rachael",Labour (Co-op),York Central,House of Commons,London,SW1A 0AA,rachael.maskell.mp@parliament.uk
Paul,Maskey,Paul Maskey,"Maskey, Paul",Sinn Féin,Belfast West,House of Commons,London,SW1A 0AA,paul.maskey.mp@parliament.uk
Keir,Mather,Keir Mather,"Mather, Keir",Labour,Selby,House of Commons,London,SW1A 0AA,keir.mather.mp@parliament.uk
Brian,Mathew,Brian Mathew,"Mathew, Brian",Liberal Democrat,Melksham and Devizes,House of Commons,London,SW1A 0AA,brian.mathew.mp@parliament.uk
Alex,Mayer,Alex Mayer,"Mayer, Alex",Labour,Dunstable and Leighton Buzzard,House of Commons,London,SW1A 0AA,alex.mayer.mp@parliament.uk
Jerome,Mayhew,Jerome Mayhew,"Mayhew, Jerome",Conservative,Broadland and Fakenham,House of Commons,London,SW1A 0AA,jerome.mayhew.mp@parliament.uk
Charlie,Maynard,Charlie Maynard,"Maynard, Charlie",Liberal Democrat,Witney,House of Commons,London,SW1A 0AA,charlie.maynard.mp@parliament.uk
Llinos,Medi,Llinos Medi,"Medi, Llinos",Plaid Cymru,Ynys Môn,House of Commons,London,SW1A 0AA,llinos.medi.mp@parliament.uk
Anneliese,Midgley,Anneliese Midgley,"Midgley, Anneliese",Labour,Knowsley,House of Commons,London,SW1A 0AA,anneliese.midgley.mp@parliament.uk
Ed,Miliband,Ed Miliband,"Miliband, Ed",Labour,Doncaster North,House of Commons,London,SW1A 0AA,ed.miliband.mp@parliament.uk
Calum,Miller,Calum Miller,"Miller, Calum",Liberal Democrat,Bicester and Woodstock,House of Commons,London,SW1A 0AA,calum.miller.mp@parliament.uk
John,Milne,John Milne,"Milne, John",Liberal Democrat,Horsham,House of Commons,London,SW1A 0AA,john.milne.mp@parliament.uk
Julie,Minns,Ms Julie Minns,"Minns, Ms Julie",Labour,Carlisle,House of Commons,London,SW1A 0AA,julie.minns.mp@parliament.uk
Navendu,Mishra,Navendu Mishra,"Mishra, Navendu",Labour,Stockport,House of Commons,London,SW1A 0AA,navendu.mishra.mp@parliament.uk
Andrew,Mitchell,Mr Andrew Mitchell,"Mitchell, Mr Andrew",Conservative,Sutton Coldfield,House of Commons,London,SW1A 0AA,andrew.mitchell.mp@parliament.uk
Abtisam,Mohamed,Abtisam Mohamed,"Mohamed, Abtisam",Labour,Sheffield Central,House of Commons,London,SW1A 0AA,abtisam.mohamed.mp@parliament.uk
Iqbal,Mohamed,Iqbal Mohamed,"Mohamed, Iqbal",Independent,Dewsbury and Batley,House of Commons,London,SW1A 0AA,iqbal.mohamed.mp@parliament.uk
Gagan,Mohindra,Mr Gagan Mohindra,"Mohindra, Mr Gagan",Conservative,South West Hertfordshire,House of Commons,London,SW1A 0AA,gagan.mohindra.mp@parliament.uk
Perran,Moon,Perran Moon,"Moon, Perran",Labour,Camborne and Redruth,House of Commons,London,SW1A 0AA,perran.moon.mp@parliament.uk
Robbie,Moore,Robbie Moore,"Moore, Robbie",Conservative,Keighley and Ilkley,House of Commons,London,SW1A 0AA,robbie.moore.mp@parliament.uk
Layla,Moran,Layla Moran,"Moran, Layla",Liberal Democrat,Oxford West and Abingdon,House of Commons,London,SW1A 0AA,layla.moran.mp@parliament.uk
Jessica,Morden,Jessica Morden,"Morden, Jessica",Labour,Newport East,House of Commons,London,SW1A 0AA,mordenj@parliament.uk
Edward,Morello,Edward Morello,"Morello, Edward",Liberal Democrat,West Dorset,House of Commons,London,SW1A 0AA,edward.morello.mp@parliament.uk
Helen,Morgan,Helen Morgan,"Morgan, Helen",Liberal Democrat,North Shropshire,House of Commons,London,SW1A 0AA,helen.morgan.mp@parliament.uk
Stephen,Morgan,Stephen Morgan,"Morgan, Stephen",Labour,Portsmouth South,House of Commons,London,SW1A 0AA,stephen.morgan.mp@parliament.uk
Grahame,Morris,Grahame Morris,"Morris, Grahame",Labour,Easington,House of Commons,London,SW1A 0AA,grahame.morris.mp@parliament.uk
Joe,Morris,Joe Morris,"Morris, Joe",Labour,Hexham,House of Commons,London,SW1A 0AA,joe.morris.mp@parliament.uk
Tom,Morrison,Tom Morrison,"Morrison, Tom",Liberal Democrat,Cheadle,House of Commons,London,SW1A 0AA,tom.morrison.mp@parliament.uk
Joy,Morrissey,Joy Morrissey,"Morrissey, Joy",Conservative,Beaconsfield,House of Commons,London,SW1A 0AA,joy.morrissey.mp@parliament.uk
Wendy,Morton,Wendy Morton,"Morton, Wendy",Conservative,Aldridge-Brownhills,House of Commons,London,SW1A 0AA,wendy.morton.mp@parliament.uk
Kieran,Mullan,Dr Kieran Mullan,"Mullan, Dr Kieran",Conservative,Bexhill and Battle,House of Commons,London,SW1A 0AA,kieran.mullan.mp@parliament.uk
Margaret,Mullane,Margaret Mullane,"Mullane, Margaret",Labour,Dagenham and Rainham,House of Commons,London,SW1A 0AA,margaret.mullane.mp@parliament.uk
David,Mundell,David Mundell,"Mundell, David",Conservative,"Dumfriesshire, Clydesdale and Tweeddale",House of Commons,London,SW1A 0AA,david.mundell.mp@parliament.uk
Tessa,Munt,Tessa Munt,"Munt, Tessa",Liberal Democrat,Wells and Mendip Hills,House of Commons,London,SW1A 0AA,tessa.munt.mp@parliament.uk
Luke,Murphy,Luke Murphy,"Murphy, Luke",Labour,Basingstoke,House of Commons,London,SW1A 0AA,luke.murphy.mp@parliament.uk
Chris,Murray,Chris Murray,"Murray, Chris",Labour,Edinburgh East and Musselburgh,House of Commons,London,SW1A 0AA,chris.murray.mp@parliament.uk
Ian,Murray,Ian Murray,"Murray, Ian",Labour,Edinburgh South,House of Commons,London,SW1A 0AA,ian.murray.mp@parliament.uk
James,Murray,James Murray,"Murray, James",Labour (Co-op),Ealing North,House of Commons,London,SW1A 0AA,james.murray.mp@parliament.uk
Katrina,Murray,Katrina Murray,"Murray, Katrina",Labour,Cumbernauld and Kirkintilloch,House of Commons,London,SW1A 0AA,katrina.murray.mp@parliament.uk
Susan,Murray,Susan Murray,"Murray, Susan",Liberal Democrat,Mid Dunbartonshire,House of Commons,London,SW1A 0AA,susan.murray.mp@parliament.uk
Andrew,Murrison,Dr Andrew Murrison,"Murrison, Dr Andrew",Conservative,South West Wiltshire,House of Commons,London,SW1A 0AA,murrisona@parliament.uk
Luke,Myer,Luke Myer,"Myer, Luke",Labour,Middlesbrough South and East Cleveland,House of Commons,London,SW1A 0AA,luke.myer.mp@parliament.uk
James,Naish,James Naish,"Naish, James",Labour,Rushcliffe,House of Commons,London,SW1A 0AA,james.naish.mp@parliament.uk
Connor,Naismith,Connor Naismith,"Naismith, Connor",Labour,Crewe and Nantwich,House of Commons,London,SW1A 0AA,connor.naismith.mp@parliament.uk
Lisa,Nandy,Lisa Nandy,"Nandy, Lisa",Labour,Wigan,House of Commons,London,SW1A 0AA,lisa.nandy.mp@parliament.uk
Kanishka,Narayan,Kanishka Narayan,"Narayan, Kanishka",Labour,Vale of Glamorgan,House of Commons,London,SW1A 0AA,kanishka.narayan.mp@parliament.uk
Pamela,Nash,Pamela Nash,"Nash, Pamela",Labour,"Motherwell, Wishaw and Carluke",House of Commons,London,SW1A 0AA,pamela.nash.mp@parliament.uk
Josh,Newbury,Josh Newbury,"Newbury, Josh",Labour,Cannock Chase,House of Commons,London,SW1A 0AA,josh.newbury.mp@parliament.uk
Samantha,Niblett,Samantha Niblett,"Niblett, Samantha",Labour,South Derbyshire,House of Commons,London,SW1A 0AA,samantha.niblett.mp@parliament.uk
Charlotte,Nichols,Charlotte Nichols,"Nichols, Charlotte",Labour,Warrington North,House of Commons,London,SW1A 0AA,charlotte.nichols.mp@parliament.uk
Caroline,Nokes,Caroline Nokes,"Nokes, Caroline",Conservative,Romsey and Southampton North,House of Commons,London,SW1A 0AA,caroline.nokes.mp@parliament.uk
Jesse,Norman,Jesse Norman,"Norman, Jesse",Conservative,Hereford and South Herefordshire,House of Commons,London,SW1A 0AA,jesse.norman.mp@parliament.uk
Alex,Norris,Alex Norris,"Norris, Alex",Labour (Co-op),Nottingham North and Kimberley,House of Commons,London,SW1A 0AA,alex.norris.mp@parliament.uk
Dan,Norris,Dan Norris,"Norris, Dan",Labour,North East Somerset and Hanham,House of Commons,London,SW1A 0AA,dan.norris.mp@parliament.uk
Ben,Obese-Jecty,Ben Obese-Jecty,"Obese-Jecty, Ben",Conservative,Huntingdon,House of Commons,London,SW1A 0AA,ben.obesejecty.mp@parliament.uk
Neil,O'Brien,Neil O'Brien,"O'Brien, Neil",Conservative,"Harborough, Oadby and Wigston",House of Commons,London,SW1A 0AA,neil.obrien.mp@parliament.uk
Brendan,O'Hara,Brendan O'Hara,"O'Hara, Brendan",Scottish National Party,"Argyll, Bute and South Lochaber",House of Commons,London,SW1A 0AA,brendan.ohara.mp@parliament.uk
Sarah,Olney,Sarah Olney,"Olney, Sarah",Liberal Democrat,Richmond Park,House of Commons,London,SW1A 0AA,sarah.olney.mp@parliament.uk
Melanie,Onn,Melanie Onn,"Onn, Melanie",Labour,Great Grimsby and Cleethorpes,House of Commons,London,SW1A 0AA,melanie.onn.mp@parliament.uk
Chi,Onwurah,Chi Onwurah,"Onwurah, Chi",Labour,Newcastle upon Tyne Central and West,House of Commons,London,SW1A 0AA,chi.onwurah.mp@parliament.uk
Simon,Opher,Dr Simon Opher,"Opher, Dr Simon",Labour,Stroud,House of Commons,London,SW1A 0AA,simon.opher.mp@parliament.uk
Abena,Oppong-Asare,Ms Abena Oppong-Asare,"Oppong-Asare, Ms Abena",Labour,Erith and Thamesmead,House of Commons,London,SW1A 0AA,
Kate,Osamor,Kate Osamor,"Osamor, Kate",Labour (Co-op),Edmonton and Winchmore Hill,House of Commons,London,SW1A 0AA,kate.osamor.mp@parliament.uk
Kate,Osborne,Kate Osborne,"Osborne, Kate",Labour,Jarrow and Gateshead East,House of Commons,London,SW1A 0AA,kate.osborne.mp@parliament.uk
Tristan,Osborne,Tristan Osborne,"Osborne, Tristan",Labour,Chatham and Aylesford,House of Commons,London,SW1A 0AA,tristan.osborne.mp@parliament.uk
Taiwo,Owatemi,Taiwo Owatemi,"Owatemi, Taiwo",Labour,Coventry North West,House of Commons,London,SW1A 0AA,taiwo.owatemi.mp@parliament.uk
Sarah,Owen,Sarah Owen,"Owen, Sarah",Labour,Luton North,House of Commons,London,SW1A 0AA,sarah.owen.mp@parliament.uk
Darren,Paffey,Darren Paffey,"Paffey, Darren",Labour,Southampton Itchen,House of Commons,London,SW1A 0AA,darren.paffey.mp@parliament.uk
Andrew,Pakes,Andrew Pakes,"Pakes, Andrew",Labour (Co-op),Peterborough,House of Commons,London,SW1A 0AA,andrew.pakes.mp@parliament.uk
Priti,Patel,Priti Patel,"Patel, Priti",Conservative,Witham,House of Commons,London,SW1A 0AA,withammp@parliament.uk
Matthew,Patrick,Matthew Patrick,"Patrick, Matthew",Labour,Wirral West,House of Commons,London,SW1A 0AA,matthew.patrick.mp@parliament.uk
Rebecca,Paul,Rebecca Paul,"Paul, Rebecca",Conservative,Reigate,House of Commons,London,SW1A 0AA,rebecca.paul.mp@parliament.uk
Michael,Payne,Michael Payne,"Payne, Michael",Labour,Gedling,House of Commons,London,SW1A 0AA,michael.payne.mp@parliament.uk
Stephanie,Peacock,Stephanie Peacock,"Peacock, Stephanie",Labour,Barnsley South,House of Commons,London,SW1A 0AA,stephanie.peacock.mp@parliament.uk
Jon,Pearce,Jon Pearce,"Pearce, Jon",Labour,High Peak,House of Commons,London,SW1A 0AA,jon.pearce.mp@parliament.uk
Matthew,Pennycook,Matthew Pennycook,"Pennycook, Matthew",Labour,Greenwich and Woolwich,House of Commons,London,SW1A 0AA,matthew.pennycook.mp@parliament.uk
Toby,Perkins,Mr Toby Perkins,"Perkins, Mr Toby",Labour,Chesterfield,House of Commons,London,SW1A 0AA,toby.perkins.mp@parliament.uk
Manuela,Perteghella,Manuela Perteghella,"Perteghella, Manuela",Liberal Democrat,Stratford-on-Avon,House of Commons,London,SW1A 0AA,manuela.perteghella.mp@parliament.uk
Jess,Phillips,Jess Phillips,"Phillips, Jess",Labour,Birmingham Yardley,House of Commons,London,SW1A 0AA,jess.phillips.mp@parliament.uk
Bridget,Phillipson,Bridget Phillipson,"Phillipson, Bridget",Labour,Houghton and Sunderland South,House of Commons,London,SW1A 0AA,bridget.phillipson.mp@parliament.uk
Chris,Philp,Chris Philp,"Philp, Chris",Conservative,Croydon South,House of Commons,London,SW1A 0AA,chris.philp.mp@parliament.uk
Al,Pinkerton,Dr Al Pinkerton,"Pinkerton, Dr Al",Liberal Democrat,Surrey Heath,House of Commons,London,SW1A 0AA,al.pinkerton.mp@parliament.uk
David,Pinto-Duschinsky,David Pinto-Duschinsky,"Pinto-Duschinsky, David",Labour,Hendon,House of Commons,London,SW1A 0AA,david.pintoduschinsky.mp@parliament.uk
Lee,Pitcher,Lee Pitcher,"Pitcher, Lee",Labour,Doncaster East and the Isle of Axholme,House of Commons,London,SW1A 0AA,lee.pitcher.mp@parliament.uk
Jo,Platt,Jo Platt,"Platt, Jo",Labour (Co-op),Leigh and Atherton,House of Commons,London,SW1A 0AA,jo.platt.mp@parliament.uk
Luke,Pollard,Luke Pollard,"Pollard, Luke",Labour (Co-op),Plymouth Sutton and Devonport,House of Commons,London,SW1A 0AA,luke.pollard.mp@parliament.uk
Joe,Powell,Joe Powell,"Powell, Joe",Labour,Kensington and Bayswater,House of Commons,London,SW1A 0AA,joe.powell.mp@parliament.uk
Lucy,Powell,Lucy Powell,"Powell, Lucy",Labour (Co-op),Manchester Central,House of Commons,London,SW1A 0AA,contact@lucypowell.org.uk
Gregor,Poynton,Gregor Poynton,"Poynton, Gregor",Labour,Livingston,House of Commons,London,SW1A 0AA,gregor.poynton.mp@parliament.uk
Peter,Prinsley,Peter Prinsley,"Prinsley, Peter",Labour,Bury St Edmunds and Stowmarket,House of Commons,London,SW1A 0AA,peter.prinsley.mp@parliament.uk
Mark,Pritchard,Mark Pritchard,"Pritchard, Mark",Conservative,The Wrekin,House of Commons,London,SW1A 0AA,mark.pritchard.mp@parliament.uk
Richard,Quigley,Mr Richard Quigley,"Quigley, Mr Richard",Labour,Isle of Wight West,House of Commons,London,SW1A 0AA,richard.quigley.mp@parliament.uk
Yasmin,Qureshi,Yasmin Qureshi,"Qureshi, Yasmin",Labour,Bolton South and Walkden,House of Commons,London,SW1A 0AA,yasmin.qureshi.mp@parliament.uk
Steve,Race,Steve Race,"Race, Steve",Labour,Exeter,House of Commons,London,SW1A 0AA,steve.race.mp@parliament.uk
Shivani,Raja,Shivani Raja,"Raja, Shivani",Conservative,Leicester East,House of Commons,London,SW1A 0AA,shivani.raja.mp@parliament.uk
Adrian,Ramsay,Adrian Ramsay,"Ramsay, Adrian",Green Party,Waveney Valley,House of Commons,London,SW1A 0AA,adrian.ramsay.mp@parliament.uk
Connor,Rand,Mr Connor Rand,"Rand, Mr Connor",Labour,Altrincham and Sale West,House of Commons,London,SW1A 0AA,connor.rand.mp@parliament.uk
Andrew,Ranger,Andrew Ranger,"Ranger, Andrew",Labour,Wrexham,House of Commons,London,SW1A 0AA,andrew.ranger.mp@parliament.uk
Jack,Rankin,Jack Rankin,"Rankin, Jack",Conservative,Windsor,House of Commons,London,SW1A 0AA,jack.rankin.mp@parliament.uk
Angela,Rayner,Angela Rayner,"Rayner, Angela",Labour,Ashton-under-Lyne,House of Commons,London,SW1A 0AA,angela.rayner.mp@parliament.uk
Mike,Reader,Mike Reader,"Reader, Mike",Labour,Northampton South,House of Commons,London,SW1A 0AA,mike.reader.mp@parliament.uk
David,Reed,David Reed,"Reed, David",Conservative,Exmouth and Exeter East,House of Commons,London,SW1A 0AA,david.reed.mp@parliament.uk
Steve,Reed,Steve Reed,"Reed, Steve",Labour (Co-op),Streatham and Croydon North,House of Commons,London,SW1A 0AA,steve.reed.mp@parliament.uk
Ellie,Reeves,Ellie Reeves,"Reeves, Ellie",Labour,Lewisham West and East Dulwich,House of Commons,London,SW1A 0AA,ellie.reeves.mp@parliament.uk
Rachel,Reeves,Rachel Reeves,"Reeves, Rachel",Labour,Leeds West and Pudsey,House of Commons,London,SW1A 0AA,rachel.reeves.mp@parliament.uk
Joani,Reid,Joani Reid,"Reid, Joani",Labour,East Kilbride and Strathaven,House of Commons,London,SW1A 0AA,joani.reid.mp@parliament.uk
Emma,Reynolds,Emma Reynolds,"Reynolds, Emma",Labour,Wycombe,House of Commons,London,SW1A 0AA,emma.reynolds.mp@parliament.uk
Jonathan,Reynolds,Jonathan Reynolds,"Reynolds, Jonathan",Labour (Co-op),Stalybridge and Hyde,House of Commons,London,SW1A 0AA,jonathan.reynolds.mp@parliament.uk
Joshua,Reynolds,Mr Joshua Reynolds,"Reynolds, Mr Joshua",Liberal Democrat,Maidenhead,House of Commons,London,SW1A 0AA,joshua.reynolds.mp@parliament.uk
Martin,Rhodes,Martin Rhodes,"Rhodes, Martin",Labour,Glasgow North,House of Commons,London,SW1A 0AA,martin.rhodes.mp@parliament.uk
Bell,Ribeiro-Addy,Bell Ribeiro-Addy,"Ribeiro-Addy, Bell",Labour,Clapham and Brixton Hill,House of Commons,London,SW1A 0AA,bell.ribeiroaddy.mp@parliament.uk
Jake,Richards,Jake Richards,"Richards, Jake",Labour,Rother Valley,House of Commons,London,SW1A 0AA,jake.richards.mp@parliament.uk
Jenny,Riddell-Carpenter,Jenny Riddell-Carpenter,"Riddell-Carpenter, Jenny",Labour,Suffolk Coastal,House of Commons,London,SW1A 0AA,jenny.riddellcarpenter.mp@parliament.uk
Lucy,Rigby,Lucy Rigby,"Rigby, Lucy",Labour,Northampton North,House of Commons,London,SW1A 0AA,lucy.rigby.mp@parliament.uk
Marie,Rimmer,Ms Marie Rimmer,"Rimmer, Ms Marie",Labour,St Helens South and Whiston,House of Commons,London,SW1A 0AA,marie.rimmer.mp@parliament.uk
Dave,Robertson,Dave Robertson,"Robertson, Dave",Labour,Lichfield,House of Commons,London,SW1A 0AA,dave.robertson.mp@parliament.uk
Joe,Robertson,Joe Robertson,"Robertson, Joe",Conservative,Isle of Wight East,House of Commons,London,SW1A 0AA,joe.robertson.mp@parliament.uk
Gavin,Robinson,Gavin Robinson,"Robinson, Gavin",Democratic Unionist Party,Belfast East,House of Commons,London,SW1A 0AA,gavin.robinson.mp@parliament.uk
Tim,Roca,Tim Roca,"Roca, Tim",Labour,Macclesfield,House of Commons,London,SW1A 0AA,tim.roca.mp@parliament.uk
Matt,Rodda,Matt Rodda,"Rodda, Matt",Labour,Reading Central,House of Commons,London,SW1A 0AA,matt.rodda.mp@parliament.uk
Ian,Roome,Ian Roome,"Roome, Ian",Liberal Democrat,North Devon,House of Commons,London,SW1A 0AA,ian.roome.mp@parliament.uk
Andrew,Rosindell,Andrew Rosindell,"Rosindell, Andrew",Conservative,Romford,House of Commons,London,SW1A 0AA,andrew.rosindell.mp@parliament.uk
Sam,Rushworth,Sam Rushworth,"Rushworth, Sam",Labour,Bishop Auckland,House of Commons,London,SW1A 0AA,sam.rushworth.mp@parliament.uk
Sarah,Russell,Mrs Sarah Russell,"Russell, Mrs Sarah",Labour,Congleton,House of Commons,London,SW1A 0AA,sarah.russell.mp@parliament.uk
Tom,Rutland,Tom Rutland,"Rutland, Tom",Labour,East Worthing and Shoreham,House of Commons,London,SW1A 0AA,tom.rutland.mp@parliament.uk
Oliver,Ryan,Oliver Ryan,"Ryan, Oliver",Labour (Co-op),Burnley,House of Commons,London,SW1A 0AA,oliver.ryan.mp@parliament.uk
Anna,Sabine,Anna Sabine,"Sabine, Anna",Liberal Democrat,Frome and East Somerset,House of Commons,London,SW1A 0AA,anna.sabine.mp@parliament.uk
Sarah,Sackman,Sarah Sackman,"Sackman, Sarah",Labour,Finchley and Golders Green,House of Commons,London,SW1A 0AA,sarah.sackman.mp@parliament.uk
Jeevun,Sandher,Dr Jeevun Sandher,"Sandher, Dr Jeevun",Labour,Loughborough,House of Commons,London,SW1A 0AA,jeevun.sandher.mp@parliament.uk
Roz,Savage,Dr Roz Savage,"Savage, Dr Roz",Liberal Democrat,South Cotswolds,House of Commons,London,SW1A 0AA,roz.savage.mp@parliament.uk
Liz,Saville Roberts,Liz Saville Roberts,"Saville Roberts, Liz",Plaid Cymru,Dwyfor Meirionnydd,House of Commons,London,SW1A 0AA,liz.savilleroberts.mp@parliament.uk
Michelle,Scrogham,Michelle Scrogham,"Scrogham, Michelle",Labour,Barrow and Furness,House of Commons,London,SW1A 0AA,michelle.scrogham.mp@parliament.uk
Mark,Sewards,Mark Sewards,"Sewards, Mark",Labour,Leeds South West and Morley,House of Commons,London,SW1A 0AA,mark.sewards.mp@parliament.uk
Naz,Shah,Naz Shah,"Shah, Naz",Labour,Bradford West,House of Commons,London,SW1A 0AA,naz.shah.mp@parliament.uk
Baggy,Shanker,Baggy Shanker,"Shanker, Baggy",Labour (Co-op),Derby South,House of Commons,London,SW1A 0AA,baggy.shanker.mp@parliament.uk
Michael,Shanks,Michael Shanks,"Shanks, Michael",Labour,Rutherglen,House of Commons,London,SW1A 0AA,michael.shanks.mp@parliament.uk
Jim,Shannon,Jim Shannon,"Shannon, Jim",Democratic Unionist Party,Strangford,House of Commons,London,SW1A 0AA,jim.shannon.mp@parliament.uk
Neil,Shastri-Hurst,Dr Neil Shastri-Hurst,"Shastri-Hurst, Dr Neil",Conservative,Solihull West and Shirley,House of Commons,London,SW1A 0AA,neil.shastrihurst.mp@parliament.uk
